InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice,month,year
576371,23035,DRAWER KNOB CERAMIC IVORY,30,2011-11-15 08:07:00,1.45,14911.0,EIRE,43.5,11,2011
553677,22470,HEART OF WICKER LARGE,40,2011-05-18 12:58:00,2.55,16553.0,United Kingdom,102.0,5,2011
571028,22110,BIRD HOUSE HOT WATER BOTTLE,1,2011-10-13 12:21:00,2.55,16770.0,United Kingdom,2.55,10,2011
575139,22733,3D TRADITIONAL CHRISTMAS STICKERS,18,2011-11-08 15:26:00,1.25,16863.0,United Kingdom,22.5,11,2011
544368,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,2011-02-18 11:27:00,2.95,14057.0,United Kingdom,2.95,2,2011
575678,22930,BAKING MOULD HEART MILK CHOCOLATE,6,2011-11-10 15:23:00,2.55,16169.0,United Kingdom,15.299999999999999,11,2011
557771,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,12,2011-06-22 14:43:00,1.25,15601.0,United Kingdom,15.0,6,2011
571913,22467,GUMBALL COAT RACK,6,2011-10-19 15:29:00,2.55,18210.0,United Kingdom,15.299999999999999,10,2011
542107,22721,SET OF 3 CAKE TINS SKETCHBOOK,1,2011-01-25 13:38:00,4.95,16222.0,United Kingdom,4.95,1,2011
557276,16235,RECYCLED PENCIL WITH RABBIT ERASER,6,2011-06-19 12:05:00,0.21,16931.0,United Kingdom,1.26,6,2011
538635,22573,STAR WOODEN CHRISTMAS DECORATION,7,2010-12-13 13:32:00,0.85,17303.0,United Kingdom,5.95,12,2010
545308,22804,CANDLEHOLDER PINK HANGING HEART,3,2011-03-01 13:19:00,2.95,14656.0,United Kingdom,8.850000000000001,3,2011
570866,23409,PHOTO FRAME LINEN AND LACE LARGE,12,2011-10-12 15:49:00,3.75,17096.0,United Kingdom,45.0,10,2011
550132,22267,EASTER DECORATION EGG BUNNY ,12,2011-04-14 13:33:00,1.25,16933.0,United Kingdom,15.0,4,2011
576321,23217,LAUREL HEART ANTIQUE SILVER,1,2011-11-14 14:59:00,1.25,14953.0,United Kingdom,1.25,11,2011
569692,20725,LUNCH BAG RED RETROSPOT,20,2011-10-05 15:17:00,1.65,14389.0,United Kingdom,33.0,10,2011
544368,22437,SET OF 9 BLACK SKULL BALLOONS,10,2011-02-18 11:27:00,0.85,14057.0,United Kingdom,8.5,2,2011
578682,21531,RED RETROSPOT SUGAR JAM BOWL,12,2011-11-25 08:55:00,2.1,17173.0,United Kingdom,25.200000000000003,11,2011
578941,16162M,THE KING GIFT BAG 25x24x12cm,2,2011-11-27 13:26:00,0.42,16024.0,United Kingdom,0.84,11,2011
564335,22092,BLUE PAISLEY TISSUE BOX,2,2011-08-24 14:23:00,0.39,15800.0,United Kingdom,0.78,8,2011
548708,22532,MAGIC DRAWING SLATE LEAP FROG ,4,2011-04-03 12:41:00,0.42,13269.0,United Kingdom,1.68,4,2011
576095,22402,MAGNETS PACK OF 4 VINTAGE COLLAGE,12,2011-11-14 09:13:00,0.39,14904.0,United Kingdom,4.68,11,2011
556206,23240,SET OF 4 KNICK KNACK TINS DOILEY ,6,2011-06-09 13:46:00,4.15,14911.0,EIRE,24.900000000000002,6,2011
567288,22750,FELTCRAFT PRINCESS LOLA DOLL,1,2011-09-19 11:49:00,3.75,16906.0,United Kingdom,3.75,9,2011
563038,22726,ALARM CLOCK BAKELIKE GREEN,16,2011-08-11 15:05:00,3.75,16656.0,United Kingdom,60.0,8,2011
537765,20655,QUEEN OF SKIES LUGGAGE TAG,1,2010-12-08 12:08:00,1.25,14606.0,United Kingdom,1.25,12,2010
549628,84750B,BLACK SMALL GLASS CAKE STAND,16,2011-04-11 11:43:00,0.39,13798.0,United Kingdom,6.24,4,2011
579872,22436,12 COLOURED PARTY BALLOONS,10,2011-11-30 16:54:00,0.65,14085.0,United Kingdom,6.5,11,2011
574673,82494L,WOODEN FRAME ANTIQUE WHITE ,3,2011-11-06 12:26:00,2.95,15555.0,United Kingdom,8.850000000000001,11,2011
580162,20978,36 PENCILS TUBE SKULLS,2,2011-12-02 10:52:00,1.25,12856.0,United Kingdom,2.5,12,2011
558200,20727,LUNCH BAG  BLACK SKULL.,1,2011-06-27 13:00:00,1.65,15976.0,United Kingdom,1.65,6,2011
572229,23215,JINGLE BELL HEART ANTIQUE SILVER,12,2011-10-21 14:23:00,2.08,14329.0,United Kingdom,24.96,10,2011
559812,84997C,CHILDRENS CUTLERY POLKADOT BLUE,1,2011-07-12 15:29:00,4.15,15051.0,United Kingdom,4.15,7,2011
574509,22733,3D TRADITIONAL CHRISTMAS STICKERS,5,2011-11-04 13:25:00,1.25,16012.0,United Kingdom,6.25,11,2011
572311,82580,BATHROOM METAL SIGN,1,2011-10-23 15:45:00,0.55,14035.0,United Kingdom,0.55,10,2011
570420,21218,RED SPOTTY BISCUIT TIN,1,2011-10-10 13:33:00,3.75,17841.0,United Kingdom,3.75,10,2011
570879,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18,2011-10-13 08:42:00,0.79,12685.0,France,14.22,10,2011
578074,22798,ANTIQUE GLASS DRESSING TABLE POT,4,2011-11-22 16:06:00,2.95,17590.0,United Kingdom,11.8,11,2011
546791,21238,RED RETROSPOT CUP,16,2011-03-17 10:38:00,0.85,17716.0,United Kingdom,13.6,3,2011
568328,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,3,2011-09-26 14:06:00,1.45,18016.0,United Kingdom,4.35,9,2011
570883,23380,PACK OF 12 VINTAGE DOILY TISSUES,24,2011-10-13 09:55:00,0.39,13477.0,United Kingdom,9.36,10,2011
566929,23373,VINTAGE CHRISTMAS PAPER GIFT BAG,200,2011-09-15 15:21:00,0.72,17428.0,United Kingdom,144.0,9,2011
573145,23530,WALL ART ONLY ONE PERSON ,6,2011-10-27 18:02:00,4.95,18219.0,United Kingdom,29.700000000000003,10,2011
560714,22197,POPCORN HOLDER,1,2011-07-20 13:10:00,0.85,14456.0,United Kingdom,0.85,7,2011
573370,22845,VINTAGE CREAM CAT FOOD CONTAINER,2,2011-10-30 13:30:00,6.35,16626.0,United Kingdom,12.7,10,2011
545530,23231,WRAP DOILEY DESIGN,25,2011-03-03 13:45:00,0.42,17416.0,United Kingdom,10.5,3,2011
558752,23131,MISTLETOE HEART WREATH CREAM,1,2011-07-03 11:40:00,4.15,16931.0,United Kingdom,4.15,7,2011
572655,23173,REGENCY TEAPOT ROSES ,2,2011-10-25 12:20:00,9.95,16708.0,United Kingdom,19.9,10,2011
566972,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-09-16 09:13:00,1.45,16573.0,United Kingdom,17.4,9,2011
546993,21385,IVORY HANGING DECORATION  HEART,6,2011-03-18 13:19:00,0.85,17921.0,United Kingdom,5.1,3,2011
538151,47566,PARTY BUNTING,50,2010-12-09 16:28:00,3.75,16163.0,United Kingdom,187.5,12,2010
562528,20749,ASSORTED COLOUR MINI CASES,2,2011-08-05 13:52:00,7.95,12610.0,Italy,15.9,8,2011
543652,21244,BLUE POLKADOT PLATE ,8,2011-02-11 10:15:00,1.69,15544.0,United Kingdom,13.52,2,2011
566561,22621,TRADITIONAL KNITTING NANCY,12,2011-09-13 12:13:00,1.65,18145.0,United Kingdom,19.799999999999997,9,2011
566284,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,12,2011-09-11 14:49:00,2.95,14825.0,United Kingdom,35.400000000000006,9,2011
543279,82578,KITCHEN METAL SIGN,4,2011-02-06 14:46:00,0.55,17105.0,United Kingdom,2.2,2,2011
563172,POST,POSTAGE,1,2011-08-12 13:15:00,15.0,12399.0,Belgium,15.0,8,2011
574685,23497,CLASSIC CHROME BICYCLE BELL ,12,2011-11-06 12:59:00,1.45,17581.0,United Kingdom,17.4,11,2011
568202,22045,SPACEBOY GIFT WRAP,25,2011-09-25 15:01:00,0.42,15366.0,United Kingdom,10.5,9,2011
547098,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-03-21 10:13:00,1.45,16384.0,United Kingdom,17.4,3,2011
552804,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-05-11 12:32:00,1.45,15615.0,United Kingdom,17.4,5,2011
563184,23093,SMALL PARISIENNE HEART PHOTO FRAME ,4,2011-08-12 14:50:00,2.49,17516.0,United Kingdom,9.96,8,2011
580517,20971,PINK BLUE FELT CRAFT TRINKET BOX,24,2011-12-04 14:40:00,1.25,17173.0,United Kingdom,30.0,12,2011
554794,22961,JAM MAKING SET PRINTED,12,2011-05-26 12:41:00,1.45,12720.0,Germany,17.4,5,2011
568198,21872,GLAMOROUS  MUG,2,2011-09-25 14:52:00,1.25,16771.0,United Kingdom,2.5,9,2011
542303,22847,BREAD BIN DINER STYLE IVORY,1,2011-01-27 11:05:00,16.95,12539.0,Spain,16.95,1,2011
557484,23159,SET OF 5 PANCAKE DAY MAGNETS,2,2011-06-20 14:36:00,2.08,14796.0,United Kingdom,4.16,6,2011
548484,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,1,2011-03-31 12:43:00,2.95,13571.0,United Kingdom,2.95,3,2011
550532,21578,WOODLAND DESIGN  COTTON TOTE BAG,1,2011-04-19 11:02:00,2.25,14606.0,United Kingdom,2.25,4,2011
569229,22980,PANTRY SCRUBBING BRUSH,1,2011-10-02 14:56:00,1.65,14502.0,United Kingdom,1.65,10,2011
545186,72800D,4 BLUE DINNER CANDLES SILVER FLOCK,1,2011-02-28 15:05:00,2.55,17841.0,United Kingdom,2.55,2,2011
574673,23207,LUNCH BAG ALPHABET DESIGN,2,2011-11-06 12:26:00,1.65,15555.0,United Kingdom,3.3,11,2011
539039,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,5,2010-12-15 15:00:00,2.55,13124.0,United Kingdom,12.75,12,2010
540635,22680,FRENCH BLUE METAL DOOR SIGN 5,10,2011-01-10 12:03:00,1.25,14229.0,United Kingdom,12.5,1,2011
566726,22111,SCOTTIE DOG HOT WATER BOTTLE,1,2011-09-14 13:12:00,4.95,15021.0,United Kingdom,4.95,9,2011
579954,22233,JIGSAW RABBIT AND BIRDHOUSE,24,2011-12-01 11:10:00,0.59,16701.0,United Kingdom,14.16,12,2011
569673,23106,ZINC HEARTS PLANT POT HOLDER,8,2011-10-05 13:58:00,2.89,17222.0,United Kingdom,23.12,10,2011
539324,21791,VINTAGE HEADS AND TAILS CARD GAME ,1,2010-12-16 19:51:00,1.25,14985.0,United Kingdom,1.25,12,2010
567199,23354,6 GIFT TAGS 50'S CHRISTMAS ,24,2011-09-19 10:13:00,0.83,17058.0,United Kingdom,19.919999999999998,9,2011
576076,23296,SET OF 6 TEA TIME BAKING CASES,1,2011-11-13 16:18:00,1.25,14382.0,United Kingdom,1.25,11,2011
578055,22071,SMALL WHITE RETROSPOT MUG IN BOX ,3,2011-11-22 15:00:00,3.75,13986.0,United Kingdom,11.25,11,2011
571292,15056P,EDWARDIAN PARASOL PINK,1,2011-10-16 15:45:00,5.95,15311.0,United Kingdom,5.95,10,2011
539333,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2010-12-17 09:52:00,1.25,13627.0,United Kingdom,15.0,12,2010
577180,23480,MINI LIGHTS WOODLAND MUSHROOMS,48,2011-11-18 11:27:00,3.29,12380.0,Belgium,157.92000000000002,11,2011
574547,23034,DRAWER KNOB CERAMIC BLACK,1,2011-11-04 15:08:00,1.45,17841.0,United Kingdom,1.45,11,2011
538886,22083,PAPER CHAIN KIT RETROSPOT,6,2010-12-14 16:07:00,2.95,13846.0,United Kingdom,17.700000000000003,12,2010
570593,90000D,COPPER/OLIVE GREEN FLOWER NECKLACE,2,2011-10-11 11:38:00,5.95,18180.0,United Kingdom,11.9,10,2011
556245,22955,36 FOIL STAR CAKE CASES ,1,2011-06-09 16:10:00,2.1,17841.0,United Kingdom,2.1,6,2011
561099,22960,JAM MAKING SET WITH JARS,2,2011-07-25 11:01:00,4.25,14100.0,United Kingdom,8.5,7,2011
544330,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,3,2011-02-17 16:59:00,2.95,17576.0,United Kingdom,8.850000000000001,2,2011
570593,21819,GLITTER CHRISTMAS STAR ,36,2011-10-11 11:38:00,0.39,18180.0,United Kingdom,14.040000000000001,10,2011
571217,23298,SPOTTY BUNTING,3,2011-10-14 13:24:00,4.95,17451.0,United Kingdom,14.850000000000001,10,2011
551855,22993,SET OF 4 PANTRY JELLY MOULDS,4,2011-05-04 15:08:00,1.25,12836.0,United Kingdom,5.0,5,2011
570714,23200,JUMBO BAG PEARS,20,2011-10-12 10:20:00,2.08,13520.0,Switzerland,41.6,10,2011
577517,23221,REINDEER HEART DECORATION SILVER,2,2011-11-20 13:16:00,0.83,16710.0,United Kingdom,1.66,11,2011
548388,16012,FOOD/DRINK SPONGE STICKERS,96,2011-03-30 16:52:00,0.21,13268.0,United Kingdom,20.16,3,2011
543002,21218,RED SPOTTY BISCUIT TIN,6,2011-02-02 12:36:00,3.75,13491.0,United Kingdom,22.5,2,2011
565465,22865,HAND WARMER OWL DESIGN,12,2011-09-05 09:46:00,2.1,15364.0,United Kingdom,25.200000000000003,9,2011
564725,22951,60 CAKE CASES DOLLY GIRL DESIGN,1,2011-08-28 12:28:00,0.55,18041.0,United Kingdom,0.55,8,2011
567875,23300,GARDENERS KNEELING PAD CUP OF TEA ,3,2011-09-22 14:29:00,1.65,16348.0,United Kingdom,4.949999999999999,9,2011
568049,22467,GUMBALL COAT RACK,4,2011-09-23 12:38:00,2.55,17841.0,United Kingdom,10.2,9,2011
559639,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2011-07-11 12:23:00,2.95,13767.0,United Kingdom,17.700000000000003,7,2011
578531,23349,ROLL WRAP VINTAGE CHRISTMAS,1,2011-11-24 14:40:00,1.25,17364.0,United Kingdom,1.25,11,2011
542777,20658,RED RETROSPOT LUGGAGE TAG,12,2011-02-01 08:31:00,1.25,14911.0,EIRE,15.0,2,2011
567183,84510A,SET OF 4 ENGLISH ROSE COASTERS,6,2011-09-18 15:32:00,1.25,14769.0,United Kingdom,7.5,9,2011
568706,23111,PARISIENNE SEWING BOX,1,2011-09-28 15:32:00,12.5,14911.0,EIRE,12.5,9,2011
563404,21479,WHITE SKULL HOT WATER BOTTLE ,8,2011-08-16 11:04:00,3.75,16303.0,United Kingdom,30.0,8,2011
571274,22789,T-LIGHT HOLDER SWEETHEART HANGING,12,2011-10-16 12:25:00,1.95,16934.0,United Kingdom,23.4,10,2011
557267,22150,3 STRIPEY MICE FELTCRAFT,1,2011-06-19 11:23:00,1.95,16805.0,United Kingdom,1.95,6,2011
568578,21530,DAIRY MAID TOASTRACK,18,2011-09-28 09:43:00,0.79,15301.0,United Kingdom,14.22,9,2011
567310,37340,MULTICOLOUR SPRING FLOWER MUG,3,2011-09-19 13:45:00,0.39,15504.0,United Kingdom,1.17,9,2011
571280,21479,WHITE SKULL HOT WATER BOTTLE ,5,2011-10-16 13:08:00,4.25,18122.0,United Kingdom,21.25,10,2011
